Case/Scenario,LCA_metric,Total LCA: Unit (numerator),Total LCA: Unit (denominator),Production Year,Total LCA
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2028,117.27294080810528
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2029,117.27294080810528
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2030,114.26258324796684
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2031,114.26258324796682
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2032,114.26258324796682
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2033,114.26258324796682
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2034,114.26258324796682
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2035,111.13466178731986
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2036,111.13466178731987
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2037,111.13466178731987
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2038,111.13466178731987
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2039,111.13466178731987
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2040,109.39110630994512
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2041,109.3911063099451
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2042,109.3911063099451
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2043,109.3911063099451
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2044,109.3911063099451
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2045,108.45705029194977
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2046,108.45705029194977
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2047,108.45705029194977
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2048,108.45705029194977
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2049,108.45705029194977
"2021 SOT: Biochemical design case, BDO pathway with convert lignin to BKA",CO2e,g,MJ,2050,107.64950127406412
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2022,11.108320003847574
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2023,11.108320003847576
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2024,11.108320003847576
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2025,10.666037095841745
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2026,10.666037095841743
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2027,10.666037095841743
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2028,10.666037095841743
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2029,10.666037095841743
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2030,10.439113476605016
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2031,10.439113476605016
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2032,10.439113476605016
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2033,10.439113476605016
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2034,10.439113476605016
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2035,10.518236884040757
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2036,10.518236884040757
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2037,10.518236884040757
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2038,10.518236884040757
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2039,10.518236884040757
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2040,10.580221925525088
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2041,10.580221925525088
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2042,10.580221925525088
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2043,10.580221925525088
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2044,10.580221925525088
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2045,10.57611754093816
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2046,10.576117540938158
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2047,10.576117540938158
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2048,10.576117540938158
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2049,10.576117540938158
2021 SOT: High octane gasoline from lignocellulosic biomass via syngas and methanol/dimethyl ether intermediates,CO2e,g,MJ,2050,10.563177368756984
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2022,-6.892378802008538
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2023,-6.892378802008538
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2024,-6.892378802008538
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2025,-6.961593817502447
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2026,-6.961593817502447
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2027,-6.961593817502447
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2028,-6.961593817502447
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2029,-6.961593817502447
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2030,-7.159398935116786
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2031,-7.159398935116786
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2032,-7.159398935116786
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2033,-7.159398935116786
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2034,-7.159398935116786
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2035,-7.276075741676363
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2036,-7.276075741676363
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2037,-7.276075741676363
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2038,-7.276075741676363
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2039,-7.276075741676363
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2040,-7.2304049454374955
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2041,-7.230404945437496
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2042,-7.230404945437496
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2043,-7.230404945437496
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2044,-7.230404945437496
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2045,-7.205938232279901
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2046,-7.205938232279902
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2047,-7.205938232279902
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2048,-7.205938232279902
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2049,-7.205938232279902
