"This correspondence file maps biofuel pathway name, feedstock, and biofuel flow name to the GREET fuel pathway",,,
,,,
,,,
Case/Scenario,Biofuel Flow Name,Feedstock,GREET Pathway
"Pathway 2B: Syngas fermentation to ethanol followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",FT-Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Pathway FT: Syngas to liquid fuels via Fischer-Tropsch technology as a commercial benchmark for comparisons,FT-Naptha,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Pathway FT: Syngas to liquid fuels via Fischer-Tropsch technology as a commercial benchmark for comparisons,FT-Jet,Woody Biomass,"Passenger Aircraft, Single Aisle (SA): FT Jet from Biomass"
Pathway FT: Syngas to liquid fuels via Fischer-Tropsch technology as a commercial benchmark for comparisons,FT-Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"2018, 2018 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"2018, 2022 projection High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"2020, 2019 SOT High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
"2020, 2022 projection High Octane Gasoline from Lignocellulosic Biomass via Syngas and Methanol/Dimethyl Ether Intermediates",High Octane Gasoline (HOG),Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Biomass to Gasoline and Diesel Using Integrated Hydropyrolysis and Hydroconversion,Renewable Gasoline,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Biomass to Gasoline and Diesel Using Integrated Hydropyrolysis and Hydroconversion,Renewable Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
In-Situ CFP 2022 Target Case,Renewable Gasoline,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
In-Situ CFP 2022 Target Case,Renewable Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
In-Situ CFP 2022 Target Case,Renewable Blendstock,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex Situ CFP 2022 Target Case,Renewable Gasoline,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex Situ CFP 2022 Target Case,Renewable Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex Situ CFP 2022 Target Case,Renewable Blendstock,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Gasoline,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Blendstock,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ Fixed Bed 2022 Projection,Renewable Gasoline,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ Fixed Bed 2022 Projection,Renewable Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ Fixed Bed 2022 Projection,Renewable Blendstock,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ CFP 2019 SOT,Light Oxygenated Coproducts,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ CFP 2019 SOT,Acetone,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ CFP 2019 SOT,MEK,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ CFP 2019 SOT,Renewable Gasoline,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ CFP 2019 SOT,Renewable Diesel,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Ex-Situ CFP 2019 SOT,Renewable Blendstock,Woody Biomass,"CIDI Vehicle: FTD100, Biomass"
Fischer-Tropsch SPK,Renewable Diesel,"Woody Residue (wet, 30% moisture)",
Fischer-Tropsch SPK,Jet Fuel,"Woody Residue (wet, 30% moisture)",
Fischer-Tropsch SPK,Naptha,"Woody Residue (wet, 30% moisture)",
Gasification to Methanol,Methanol,Blended woody biomass (wet),
Gasoline from upgraded bio-oil from pyrolysis,Renewable Gasoline,Blended woody biomass (wet),
Gasoline from upgraded bio-oil from pyrolysis,Renewable Diesel,Blended woody biomass (wet),
"Baseline for Biopower with coal, w/o BECCS",Stationary Use: U.S. Mix,"Coal to Power Plants, industrial boiler",
"Baseline for Biopower with coal, w/o BECCS",Stationary Use: U.S. Mix,Poplar,
"Biopower: cofiring with coal, at 49%, w/o BECCS",Stationary Use: U.S. Mix,"Coal to Power Plants, IGCC turbine",
"Biopower: cofiring with coal, at 49%, w/o BECCS",Stationary Use: U.S. Mix,Poplar,
